Heuristic,Depth,Expanded Nodes,fringe size
h1,9,39,29
h2,9,27,22
h3,9,27,22
h4,9,27,22
h1,15,283,183
h2,15,26,19
h3,15,24,19
h4,15,68,51
h1,13,197,134
h2,13,99,67
h3,13,95,64
h4,13,103,72
h1,7,10,8
h2,7,9,8
h3,7,9,8
h4,7,9,8
h1,7,15,15
h2,7,10,10
h3,7,10,10
h4,7,10,10
h1,9,39,29
h2,9,27,22
h3,9,27,22
h4,9,27,22
h1,5,6,7
h2,5,6,7
h3,5,6,7
h4,5,6,7
h1,3,4,6
h2,3,4,6
h3,3,4,6
h4,3,4,6
h1,9,23,16
h2,9,13,10
h3,9,13,10
h4,9,13,10
h1,7,8,8
h2,7,8,8
h3,7,8,8
h4,7,8,8
h1,3,4,6
h2,3,4,6
h3,3,4,6
h4,3,4,6
h1,9,22,17
h2,9,13,12
h3,9,13,12
h4,9,13,12
h1,15,380,228
h2,15,72,54
h3,15,44,33
h4,15,118,80
h1,3,4,4
h2,3,4,4
h3,3,4,4
h4,3,4,4
h1,5,6,7
h2,5,6,7
h3,5,6,7
h4,5,6,7
h1,11,64,43
h2,11,32,26
h3,11,32,26
h4,11,32,26
h1,11,50,34
h2,11,20,15
h3,11,19,15
h4,11,19,15
h1,9,30,22
h2,9,21,15
h3,9,21,15
h4,9,21,15
h1,11,68,46
h2,11,27,21
h3,11,26,20
h4,11,31,24
h1,9,26,24
h2,9,13,13
h3,9,13,13
h4,9,13,13
h1,3,4,6
h2,3,4,6
h3,3,4,6
h4,3,4,6
h1,3,4,6
h2,3,4,6
h3,3,4,6
h4,3,4,6
h1,3,4,4
h2,3,4,4
h3,3,4,4
h4,3,4,4
h1,5,8,9
h2,5,7,7
h3,5,7,7
h4,5,7,7
h1,9,23,18
h2,9,12,12
h3,9,12,12
h4,9,12,12
h1,11,57,44
h2,11,16,15
h3,11,14,13
h4,11,14,13
h1,7,8,6
h2,7,8,6
h3,7,8,6
h4,7,8,6
h1,5,6,7
h2,5,6,7
h3,5,6,7
h4,5,6,7
h1,3,4,4
h2,3,4,4
h3,3,4,4
h4,3,4,4
h1,3,4,6
h2,3,4,6
h3,3,4,6
h4,3,4,6
h1,7,17,17
h2,7,13,12
h3,7,13,12
h4,7,13,12
h1,13,164,114
h2,13,45,36
h3,13,44,35
h4,13,70,49
h1,7,8,8
h2,7,8,8
h3,7,8,8
h4,7,8,8
h1,7,15,14
h2,7,10,11
h3,7,10,11
h4,7,10,11
h1,7,12,12
h2,7,10,11
h3,7,10,11
h4,7,10,11
h1,3,4,4
h2,3,4,4
h3,3,4,4
h4,3,4,4
h1,11,66,51
h2,11,29,24
h3,11,28,23
h4,11,32,27
h1,7,8,8
h2,7,8,8
h3,7,8,8
h4,7,8,8
h1,7,15,15
h2,7,11,11
h3,7,11,11
h4,7,11,11
h1,5,9,10
h2,5,6,7
h3,5,6,7
h4,5,6,7
Heuristice,Average Depth,Average Expanded Nodes,Average fringe size
h1: ,7.4,42.95,30.725
h2: ,7.4,16.35,13.925
h3: ,7.4,15.35,13.2
h4: ,7.4,19.375,15.925
